Sample in Buffer	Sample in Window	counter17	counter16	counter15	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	pufout	mux1_out	clockcounter_out
0	0	3302	3215	3227	3255	3246	3262	3249	3326	3210	3179	46	1183	3200	3072	3181	000	000	0	0	000	
1	1	3303	3215	3229	3256	3247	3263	3250	3327	3210	3180	46	1184	3200	3072	3181	000	000	0	0	000	
2	2	3302	3216	3227	3256	3248	3263	3250	3326	3209	3181	46	1183	3200	3072	3181	000	000	0	0	000	
3	3	3303	3215	3227	3256	3247	3263	3250	3326	3210	3180	46	1183	3200	3072	3181	000	000	0	0	000	
4	4	3303	3216	3227	3256	3258	3262	3250	3326	3209	3181	46	1183	3200	3072	3182	000	000	0	0	000	
5	5	3303	3216	3227	3256	3247	3264	3251	3326	3209	3181	47	1182	3200	3072	3181	000	000	0	0	000	
6	6	3303	3217	3228	3256	3247	3263	3250	3583	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
7	7	3303	3216	3228	3256	3247	3263	3250	3327	3210	3180	47	1182	3200	3072	3181	000	000	0	0	000	
8	8	3302	3215	3227	3255	3247	3262	3250	3326	3210	3179	46	1182	3200	3072	3181	000	000	0	0	000	
9	9	3307	3216	3228	3255	3246	3263	3250	3326	3210	3179	110	1182	3200	3072	3181	000	000	0	0	000	
10	10	3303	3216	3228	3256	3247	3263	3250	3327	3209	3181	110	1183	3200	3072	3182	000	000	0	0	000	
11	11	3303	3216	3228	3256	3247	3263	3250	3327	3210	3180	111	1183	3200	3072	3182	000	000	0	0	000	
12	12	3303	3216	3228	3257	3247	3263	3250	3327	3210	3181	46	1183	3200	3072	3182	000	000	0	0	000	
13	13	3303	3216	3228	3256	3247	3263	3251	3327	3210	3180	46	1183	3200	3072	3182	000	000	0	0	000	
14	14	3303	3216	3228	3256	3247	3263	3251	3328	3209	3180	46	1183	3200	3072	3182	000	000	0	0	000	
15	15	3302	3216	3227	3256	3247	3263	3250	3327	3210	3180	46	1183	3200	3072	3181	000	000	0	0	000	
16	16	3303	3216	3228	3256	3248	3264	3254	3327	3209	3180	46	1183	3200	3072	3182	000	000	0	0	000	
17	17	3302	3216	3227	3256	3246	3263	3250	3328	3210	3180	46	1183	3200	3072	3181	000	000	0	0	000	
18	18	3303	3216	3228	3256	3246	3263	3250	3327	3210	3180	110	1183	3200	3072	3182	000	000	0	0	000	
19	19	3303	3216	3229	3256	3247	3264	3250	3326	3209	3180	110	1183	3200	3072	3182	000	000	0	0	000	
20	20	3303	3217	3228	3257	3246	3263	3251	3327	3210	3181	110	1183	3200	3072	3182	000	000	0	0	000	
21	21	3303	3216	3228	3256	3248	3263	3250	3327	3210	3180	110	1183	3200	3072	3182	000	000	0	0	000	
22	22	3303	3216	3228	3256	3256	3263	3250	3327	3210	3180	110	1184	3200	3072	3182	000	000	0	0	000	
23	23	3303	3216	3228	3256	3247	3263	3250	3327	3211	3180	110	1183	3200	3072	3182	000	000	0	0	000	
24	24	3303	3216	3228	3256	3247	3263	3250	3327	3210	3180	111	1183	3200	3072	3182	000	000	0	0	000	
25	25	3303	3216	3228	3256	3247	3263	3251	3327	3210	3180	111	1183	3200	3072	3182	000	000	0	0	000	
26	26	3302	3217	3227	3255	3246	3264	3250	3326	3210	3180	110	1182	3200	3072	3182	000	000	0	0	000	
27	27	3303	3216	3228	3256	3247	3263	3250	3327	3209	3180	111	1183	3200	3072	3182	000	000	0	0	000	
28	28	3303	3216	3228	3256	3246	3263	3250	3327	3209	3180	63	1182	3200	3072	3182	000	000	0	0	000	
29	29	3303	3216	3229	3256	3248	3263	3251	3327	3210	3180	47	1184	3200	3072	3182	000	000	0	0	000	
30	30	3303	3216	3228	3255	3246	3263	3250	3327	3209	3180	46	1182	3200	3072	3182	000	000	0	0	000	
31	31	3303	3216	3227	3255	3246	3263	3250	3327	3210	3181	46	1182	3200	3072	3182	000	000	0	0	000	
32	32	3303	3216	3228	3255	3246	3263	3250	3328	3209	3180	47	1171	3200	3072	3182	000	000	0	0	000	
33	33	3304	3216	3228	3257	3247	3264	3251	3328	3210	3181	47	1184	3200	3072	3183	000	000	0	0	000	
34	34	3303	3216	3228	3256	3247	3264	3250	3072	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
35	35	3303	3216	3229	3256	3247	3263	3251	3327	3211	3181	47	1183	3200	3072	3182	000	000	0	0	000	
36	36	3304	3216	3228	3256	3247	3264	3250	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
37	37	3303	3218	3227	3255	3246	3263	3250	3327	3210	3180	46	1184	3200	3072	3182	000	000	0	0	000	
38	38	3303	3216	3228	3256	3247	3263	3251	3327	3210	3180	48	1183	3200	3072	3182	000	000	0	0	000	
39	39	3303	3216	3227	3256	3247	3263	3250	3327	3209	3180	48	1183	3200	3072	3182	000	000	0	0	000	
40	40	3303	3217	3227	3256	3248	3263	3251	3328	3215	3180	47	1183	3200	3072	3182	000	000	0	0	000	
41	41	3303	3216	3228	3256	3247	3263	3251	3327	3211	3180	47	1183	3200	3072	3182	000	000	0	0	000	
42	42	3303	3216	3229	3255	3247	3263	3251	3327	3209	3180	1072	1183	3200	3072	3182	000	000	0	0	000	
43	43	3303	3216	3228	3256	3247	3263	3250	3327	3211	3180	1071	1184	3200	3072	3182	000	000	0	0	000	
44	44	3303	3216	3227	3256	3248	3263	3250	3327	3209	3180	46	1182	3200	3072	3183	000	000	0	0	000	
45	45	3303	3216	3228	3256	3247	3265	3250	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
46	46	3303	3216	3228	3255	3247	3263	3250	3327	3209	3180	47	1183	3200	3072	3182	000	000	0	0	000	
47	47	3303	3216	3228	3256	3247	3263	3250	3327	3210	3180	47	1171	3200	3072	3182	000	000	0	0	000	
48	48	3303	3217	3228	3256	3247	3264	3250	3327	3211	3180	47	1183	3200	3072	3182	000	000	0	0	000	
49	49	3303	3216	3228	3256	3262	3263	3250	3327	3210	3181	47	1182	3200	3072	3182	000	000	0	0	000	
50	50	3304	3217	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
51	51	3303	3216	3228	3256	3247	3263	3250	3327	3211	3180	47	1183	3200	3072	3182	000	000	0	0	000	
52	52	3303	3216	3228	3256	3246	3263	3250	3327	3209	3180	47	1171	3200	3072	3182	000	000	0	0	000	
53	53	3303	3216	3228	3257	3246	3263	3250	3327	3209	3180	48	1184	3200	3072	3182	000	000	0	0	000	
54	54	3303	3216	3228	3256	3246	3263	3250	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
55	55	3303	3216	3228	3256	3246	3263	3250	3583	3209	3180	46	1183	3200	3072	3182	000	000	0	0	000	
56	56	3304	3216	3228	3256	3247	3264	3250	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
57	57	3303	3216	3228	3255	3246	3263	3250	3327	3210	3180	47	1182	3200	3072	3183	000	000	0	0	000	
58	58	3304	3216	3228	3256	3247	3264	3251	3328	3210	3180	48	1183	3200	3072	3183	000	000	0	0	000	
59	59	3303	3216	3228	3256	3246	3264	3250	3329	3209	3180	47	1183	3200	3072	3183	000	000	0	0	000	
60	60	3303	3216	3229	3255	3246	3263	3250	3312	3210	3180	47	1183	3200	3072	3187	000	000	0	0	000	
61	61	3304	3216	3228	3256	3247	3265	3251	3328	3209	3180	48	1183	3200	3072	3183	000	000	0	0	000	
62	62	3303	3216	3228	3255	3247	3263	3250	3327	3210	3180	47	1171	3200	3072	3183	000	000	0	0	000	
63	63	3304	3217	3228	3256	3247	3264	3251	3327	3209	3180	47	1183	3200	3072	3182	000	000	0	0	000	
64	64	3303	3216	3228	3256	3247	3264	3250	3327	3209	3180	47	1183	3200	3072	3182	000	000	0	0	000	
65	65	3303	3216	3228	3256	3247	3265	3250	3327	3210	3180	48	1183	3200	3072	3182	000	000	0	0	000	
66	66	3304	3216	3228	3256	3247	3263	3250	3327	3209	3181	47	1183	3200	3072	3184	000	000	0	0	000	
67	67	3303	3216	3228	3257	3247	3263	3250	3327	3210	3180	47	1182	3200	3072	3184	000	000	0	0	000	
68	68	3303	3217	3228	3257	3247	3264	3250	3327	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
69	69	3303	3216	3229	3255	3247	3263	3250	3327	3210	3180	47	1182	3200	3072	3183	000	000	0	0	000	
70	70	3303	3216	3228	3255	3247	3263	3250	3327	3210	3180	46	1182	3200	3072	3182	000	000	0	0	000	
71	71	3303	3217	3228	3256	3247	3264	3250	3328	3211	3180	63	1182	3200	3072	3182	000	000	0	0	000	
72	72	3303	3216	3228	3256	3232	3265	3250	3327	3210	3180	47	1182	3200	3072	3182	000	000	0	0	000	
73	73	3303	3216	3228	3256	3247	3265	3250	3329	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
74	74	3303	3216	3228	3255	3247	3263	3250	3327	3210	3180	47	1182	3200	3072	3182	000	000	0	0	000	
75	75	3304	3216	3228	3256	3247	3264	3254	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
76	76	3304	3216	3228	3256	3247	3263	3250	3327	3212	3180	47	1182	3200	3072	3182	000	000	0	0	000	
77	77	3304	3217	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3184	000	000	0	0	000	
78	78	3303	3216	3228	3256	3247	3263	3251	3327	3210	3180	47	1182	3200	3072	3182	000	000	0	0	000	
