Sample in Buffer	Sample in Window	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	counter0	pufout	mux1_out	clockcounter_out
0	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	000	
1	1	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	000	
2	2	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	000	
3	3	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	000	
4	4	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	000	
5	5	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	000	
6	6	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	000	
7	7	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	000	
8	8	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	000	
9	9	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	000	
10	10	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	000	
11	11	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	0	1	000	
12	12	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	000	
13	13	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	000	
14	14	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	000	
15	15	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	000	
16	16	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	000	
17	17	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	000	
18	18	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	000	
19	19	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	1	000	
20	20	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	000	
21	21	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	000	
22	22	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	000	
23	23	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	000	
24	24	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	000	
25	25	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	000	
26	26	1	1	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	000	
27	27	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	000	
28	28	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	000	
29	29	1	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	000	
30	30	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	000	
31	31	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	000	
32	32	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	000	
33	33	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	0	000	
34	34	1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	000	
35	35	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	000	
36	36	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	000	
37	37	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	000	
38	38	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	000	
39	39	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	000	
40	40	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	000	
41	41	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	000	
42	42	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	000	
43	43	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	000	
44	44	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	000	
45	45	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	000	
46	46	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	000	
47	47	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	000	
48	48	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	0	000	
49	49	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	000	
50	50	1	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	000	
51	51	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	000	
52	52	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	1	000	
53	53	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	000	
54	54	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	000	
55	55	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	000	
56	56	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	000	
57	57	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	000	
58	58	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	000	
59	59	0	0	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	000	
60	60	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	000	
61	61	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	000	
62	62	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	000	
63	63	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	000	
64	64	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	000	
65	65	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	000	
